"Game Name","Shelf Location"
"Backgammon","28C"
"Backstories: Alone Under the Ice","53U"
"Bacon","54F"
"Bad Company","3A"
"Bad Company","3A"
"Balada","32D"
"Balconia","35C"
"Balloon Cup","45A"
"Bamboo","4A"
"Bamboo Bash","31D"
"Band of Brothers: Screaming Eagles","49C"
"BANG! Dodge City","54N"
"BANG! The Dice Game","54N"
"BANG! The Dice Game: Old Saloon","54N"
"BANG! The Duel","54N"
"Bangkok Klongs","33A"
"Barcelona","20E"
"Bärenpark","11D"
"Bargain Hunter","28A"
"Bargain Quest","51B"
"Bargain Quest","51B"
"BaristaCat","53S"
"Barrage","42A"
"Barrage","42A"
"Basari","30B"
"Basari","39B"
"Basilica","36C"
"Basketball Highlights: Crunch Time","51A"
"Basketboss","39B"
"Batavia","8C"
"Batman: Everybody Lies","18A"
"Battalion: War of the Ancients","48E"
"Battalion: War of the Ancients","48E"
"Battle for Rokugan","47A"
"Battle Line","35E"
"Battle Line: Medieval","48C"
"Battle of Britain","49D"
"BattleCON: Devastation of Indines","4E"
"BattleCON: War of Indines","45C"
"Battleground Fantasy Warfare: Undead Army","48E"
"Battleship","28B"
"Battlestar Galactica: The Board Game","23B"
"Battue: Storm of the Horse Lords","32E"
"Bazaar","5C"
"Bazaars of Ubar","44E"
"Bean Trader","5B"
"Beast","23A"
"Bebop","2B"
"Beer & Bread","36A"
"Bees: The Secret Kingdom","51F"
"Beez","11C"
"Before the Wind","30E"
"Behext","46E"
"Behind the Throne","53Q"
"Belfort","47A"
"Belle of the Ball","52B"
"Belratti","52L"
"Beowulf: A Board Game","34B"
"Beowulf: The Legend","17E"
"Beowulf: The Movie Board Game","34B"
"Bequest","13A"
"Berried Treasure","5A"
"Berserk: War of the Realms","39A"
"Betrayal at House on the Hill","27B"
"Better Letters","51F"
"Between Two Castles of Mad King Ludwig","1A"
"Between Two Cities","16B"
"Beyond Humanity: Colonies","21C"
"Beyond the Horizon","16C"
"Beyond the Sun","25C"
"Biblios","52F"
"Big Top","54O"
"Bigfoot: Roll & Smash","28C"
"Biome","11C"
"Bios: Genesis","52C"
"Bios: Genesis","47A"
"Bios: Genesis","47A"
"BIOTIX","53S"
"Bison: Thunder on the Prairie","6C"
"Bites","51C"
"Bites: New Recipes","54Q"
"Bitoku","2D"
"Black Angel","25D"
"Black Fleet","10A"
"Black Forest","5B"
"Black Forest","5B"
"Black Gold","24C"
"Black Hat","34E"
"Black Orchestra","21B"
"Black Rose Wars: Rebirth","38E"
"Black Sheep","28B"
"Blackout: Hong Kong","6A"
"Blank Slate: Challenge","31B"
"Blazon","8C"
"Blazon","39B"
"Blitzkrieg!: World War Two in 20 Minutes","35D"
"Blockers!","32D"
"Blokus","38C"
"Blokus","36E"
"Blood Bowl: Team Manager – The Card Game","39B"
"Blood of the Northmen","46E"
"Blood on the Clocktower","42E"
"Blood on the Clocktower","42E"
"Blood Rage","42D"
"Bloodborne: The Board Game","18C"
"Bloodsuckers","33E"
"Blue Lagoon","24E"
"Blue Moon","36A"
"Blue Moon City","3D"
"Blue Moon Legends","36C"
"Blue Skies","40C"
"Blue vs. Gray","48B"
"Blueprints","51B"
"Blueprints of Mad King Ludwig","1A"
"BoardGameGeek: The Card Game","53A"
"Bobby Lee: The Civil War in Virginia 1861-1865","48C"
"Boblin's Rebellion","53T"
"Boggle","28E"
"Bohemian Villages","51A"
"Bohnanza","5B"
"Bohnaparte","54U"
"Bomb Busters","13A"
